Speciality_Group,HCP_ID,Decile,Emails_Jan18,Emails_Feb18,Emails_Mar18,Emails_Apr18,Emails_May18,Emails_Jun18,Emails_Jul18,Emails_Aug18,Emails_Sep18,Emails_Oct18,Emails_Nov18,Emails_Dec18,Emails_Jan19,Emails_Feb19,Emails_Mar19,Emails_Apr19,Calls_Jan18,Calls_Feb18,Calls_Mar18,Calls_Apr18,Calls_May18,Calls_Jun18,Calls_Jul18,Calls_Aug18,Calls_Sep18,Calls_Oct18,Calls_Nov18,Calls_Dec18,Calls_Jan19,Calls_Feb19,Calls_Mar19,Calls_Apr19,Segment,Brand_Sales_Jan18,Brand_Sales_Feb18,Brand_Sales_Mar18,Brand_Sales_Apr18,Brand_Sales_May18,Brand_Sales_Jun18,Brand_Sales_Jul18,Brand_Sales_Aug18,Brand_Sales_Sep18,Brand_Sales_Oct18,Brand_Sales_Nov18,Brand_Sales_Dec18,Brand_Sales_Jan19,Brand_Sales_Feb19,Brand_Sales_Mar19,Brand_Sales_Apr19,Final_formulary_status,Final_criteria_status,Speaker_Program_Jan18,Speaker_Program_Feb18,Speaker_Program_Mar18,Speaker_Program_Apr18,Speaker_Program_May18,Speaker_Program_Jun18,Speaker_Program_Jul18,Speaker_Program_Aug18,Speaker_Program_Sep18,Speaker_Program_Oct18,Speaker_Program_Nov18,Speaker_Program_Dec18,Speaker_Program_Jan19,Speaker_Program_Feb19,Speaker_Program_Mar19,Speaker_Program_Apr19,Mobile_Alerts_Jan18,Mobile_Alerts_Feb18,Mobile_Alerts_Mar18,Mobile_Alerts_Apr18,Mobile_Alerts_May18,Mobile_Alerts_Jun18,Mobile_Alerts_Jul18,Mobile_Alerts_Aug18,Mobile_Alerts_Sep18,Mobile_Alerts_Oct18,Mobile_Alerts_Nov18,Mobile_Alerts_Dec18,Mobile_Alerts_Jan19,Mobile_Alerts_Feb19,Mobile_Alerts_Mar19,Mobile_Alerts_Apr19,Competitor_Detailing_Jan18,Competitor_Detailing_Feb18,Competitor_Detailing_Mar18,Competitor_Detailing_Apr18,Competitor_Detailing_May18,Competitor_Detailing_Jun18,Competitor_Detailing_Jul18,Competitor_Detailing_Aug18,Competitor_Detailing_Sep18,Competitor_Detailing_Oct18,Competitor_Detailing_Nov18,Competitor_Detailing_Dec18,Competitor_Detailing_Jan19,Competitor_Detailing_Feb19,Competitor_Detailing_Mar19,Competitor_Detailing_Apr19,TC
NON-PCP,7360,L,3,1,4,0,0,3,3,3,4,2,2,4,1,3,3,3,0,0,0,0,1,2,0,2,0,1,1,1,2,0,1,0,Covered,13,2,2,14,16,17,28,31,29,30,27,37,30,34,35,30,Other,No_Restrictions,3,2,2,3,2,2,3,1,2,2,0,1,0,1,2,3,16,6,18,11,0,12,6,18,14,4,7,0,3,16,2,14,0,0,3,2,1,2,1,2,3,2,3,3,0,1,0,0,T
NON-PCP,56421,L,0,2,4,0,3,1,3,2,1,3,4,1,2,4,2,3,0,2,0,0,0,2,0,2,0,1,0,1,0,0,1,2,Covered,10,1,16,14,20,9,13,13,3,19,14,16,1,16,3,12,On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,4,11,7,4,17,8,13,13,1,16,5,10,7,4,0,2,1,2,3,1,2,2,3,0,0,0,1,2,0,2,C
Other-Speciality,7099,L,0,2,0,4,2,0,1,4,3,2,0,3,2,3,2,0,0,2,1,1,1,2,2,1,0,1,1,2,1,0,1,2,Covered,14,14,2,10,16,20,7,2,3,0,6,11,16,0,1,15,Other,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,3,10,11,11,12,11,9,4,15,17,5,12,4,6,0,3,2,1,2,1,2,2,2,2,1,2,2,0,0,1,C
Other-Speciality,6808,L,0,1,0,2,1,4,2,2,4,3,4,1,2,2,0,0,0,2,2,1,1,1,2,1,0,2,2,1,0,2,0,0,Covered,10,18,10,10,13,2,22,16,16,18,12,15,13,20,19,14,On_Formulary,Restrictions,3,2,3,0,1,1,2,1,1,2,3,1,1,0,1,3,14,16,8,4,4,1,0,11,8,2,17,11,4,15,15,15,3,3,3,1,3,2,1,1,1,0,0,2,0,3,0,0,T
PCP,5236967,L,1,0,0,2,2,4,1,0,4,3,2,4,2,1,0,3,0,2,0,0,0,2,1,1,0,0,2,0,2,1,1,0,Covered,12,5,9,4,1,16,28,36,31,26,33,33,32,34,27,31,On_Formulary,Cannot_Use,1,0,0,2,0,2,0,1,2,2,3,3,0,0,2,0,0,10,5,15,16,6,8,2,14,15,16,0,9,10,0,13,2,3,0,1,1,0,2,2,3,2,2,0,0,3,0,2,T
PCP,1463,M,0,0,0,8,6,8,2,8,7,5,3,0,2,1,2,7,0,1,3,0,0,3,3,4,0,3,3,1,3,3,3,4,Covered,52,34,55,18,24,54,70,65,78,73,84,77,76,79,69,66,Other,Restrictions,0,1,2,1,1,0,2,2,0,3,2,2,1,2,3,2,9,16,9,12,17,4,11,16,5,11,2,12,1,6,15,14,1,2,3,3,3,3,0,1,1,3,1,3,2,2,0,3,T
PCP,1769,M,2,6,8,4,4,7,0,1,0,3,3,6,3,2,8,6,0,4,2,0,2,3,0,4,0,1,1,1,0,3,0,4,Covered,14,30,10,39,44,58,77,76,72,85,70,80,84,77,76,79,Not_On_Formulary,Restrictions,3,1,2,1,0,1,3,1,2,2,2,3,0,3,3,0,7,4,12,16,14,3,2,3,4,5,13,18,16,15,18,0,2,3,0,0,2,3,0,1,0,1,2,1,0,1,0,0,T
Other-Speciality,6298,L,1,2,1,2,2,4,1,1,0,2,1,3,3,2,2,0,0,2,0,2,2,2,1,1,0,2,0,0,1,2,1,2,Covered,7,8,2,12,5,7,14,13,1,14,7,16,4,15,18,16,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,15,9,18,1,1,13,16,9,4,1,9,1,13,1,2,3,3,1,2,3,2,0,3,3,2,2,0,1,3,C
Other-Speciality,6231,L,0,0,2,3,0,3,0,2,1,1,1,3,3,1,3,0,0,0,1,0,0,2,2,0,0,1,0,2,2,0,2,2,Covered,0,16,4,1,20,12,19,6,20,4,5,12,9,20,14,12,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,12,12,8,3,2,9,3,1,15,4,15,4,0,6,3,3,2,0,3,1,0,0,3,1,1,2,1,0,1,0,C
Other-Speciality,6644,L,3,4,2,0,0,3,4,4,2,3,0,0,3,0,2,0,0,1,2,2,1,0,1,1,0,0,2,1,1,2,2,2,Covered,18,9,4,16,5,11,24,31,21,23,21,22,28,21,23,22,On_Formulary,Restrictions,3,0,3,1,0,1,1,1,2,3,0,3,1,3,1,2,10,8,16,10,13,9,1,10,15,0,12,7,17,8,6,8,0,3,1,2,2,3,1,2,1,1,3,3,3,0,1,3,T
Other-Speciality,6872,L,2,2,1,4,2,3,1,3,2,0,0,1,3,1,0,2,0,1,1,1,0,0,0,1,0,2,0,0,0,2,1,0,Covered,20,13,15,16,19,4,15,20,23,19,22,20,19,16,20,24,Other,Restrictions,0,3,1,3,3,3,2,3,0,3,2,1,1,1,1,1,10,11,6,6,5,12,15,3,6,6,18,5,1,12,5,18,2,0,1,2,0,0,0,3,1,3,0,3,1,1,3,3,T
Other-Speciality,6266,L,4,0,3,0,4,0,2,1,4,4,2,3,3,1,0,2,0,1,0,1,1,1,2,2,0,2,1,2,2,2,1,1,Covered,18,8,0,4,0,2,7,7,4,8,18,19,11,11,12,3,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,2,5,8,18,8,1,12,7,17,11,0,7,10,17,2,2,2,0,0,1,1,2,0,2,3,0,0,3,3,1,C
NON-PCP,7273,L,1,3,3,4,1,0,3,4,3,2,4,1,4,0,3,4,0,0,1,0,2,0,0,0,0,2,2,2,1,1,0,0,Covered,6,0,14,6,1,5,16,20,16,15,18,12,11,6,19,20,On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,14,4,4,13,5,15,8,15,6,4,11,1,7,16,1,1,2,3,2,1,0,0,2,2,0,3,1,1,0,0,C
PCP,1371098,L,0,1,1,4,1,2,4,2,3,1,2,1,4,1,0,3,0,0,0,1,2,0,1,0,0,1,2,2,1,1,2,0,Covered,17,18,5,19,14,1,12,21,17,18,17,11,17,14,21,15,Other,Cannot_Use,3,3,2,3,3,1,0,1,1,0,0,2,0,2,0,1,9,15,14,13,16,17,0,14,0,1,9,9,3,0,0,10,3,1,0,1,1,3,1,0,1,2,3,2,0,1,1,0,T
REMS,2057,M,3,5,5,4,3,7,7,1,6,7,5,8,4,3,8,5,0,4,0,4,2,3,0,3,0,1,2,1,0,1,3,2,Covered,14,51,55,26,51,46,21,57,15,29,54,27,10,60,45,28,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,18,16,1,14,9,14,14,14,13,5,1,6,14,7,0,0,2,2,1,2,1,0,1,3,0,2,3,2,2,2,C
Other-Speciality,5229,M,1,5,4,1,4,8,4,2,2,6,5,2,7,4,6,2,0,0,3,2,1,2,4,3,0,0,1,3,3,0,4,3,Covered,33,59,23,42,23,19,44,43,19,49,54,56,41,48,10,10,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,4,5,0,14,16,5,17,7,4,10,15,11,4,1,1,3,3,2,1,1,0,0,3,2,1,1,1,0,2,C
Other-Speciality,5809,M,3,0,7,5,5,5,7,8,7,1,4,5,7,1,5,6,0,4,4,1,2,0,3,0,0,2,2,2,4,0,0,4,Covered,52,32,21,33,25,58,84,78,87,86,80,77,84,87,77,71,Other,Restrictions,3,2,0,2,1,2,2,2,2,0,2,1,3,1,1,1,11,5,7,0,7,17,3,14,3,11,8,0,14,1,15,9,3,1,0,3,3,1,3,3,1,1,1,2,1,1,2,2,T
Other-Speciality,6651,L,3,4,1,3,4,0,3,0,1,4,1,3,0,1,4,1,1,0,0,0,0,2,2,1,0,2,0,0,0,1,0,0,Covered,2,11,20,18,20,4,16,18,24,15,23,21,23,20,21,22,On_Formulary,Restrictions,0,2,1,0,1,2,2,1,2,3,2,2,3,0,2,2,13,2,17,6,16,5,8,3,2,8,14,6,11,8,7,3,1,2,3,2,3,0,1,3,0,2,3,2,0,2,3,2,T
NON-PCP,57097,L,2,0,0,3,4,3,4,4,1,4,3,0,0,2,4,3,1,1,0,1,2,1,1,1,0,1,1,2,1,1,2,2,Covered,6,6,4,0,11,2,4,17,14,4,2,17,4,19,1,20,On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,15,0,8,16,8,9,18,9,11,3,0,7,13,14,3,0,2,2,0,3,0,1,2,1,3,1,1,1,3,2,C
NON-PCP,7231,L,3,1,1,4,3,0,1,4,2,4,2,4,0,3,2,2,1,1,0,1,2,2,0,0,0,1,2,2,2,2,0,1,Covered,13,17,10,2,0,7,6,7,9,5,8,5,20,4,2,6,Not_On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,6,7,9,13,14,4,0,4,8,2,6,6,8,14,3,0,3,1,2,3,1,1,3,0,3,3,1,1,3,3,C
REMS,2960333,L,1,2,4,0,4,0,2,1,2,3,4,1,0,3,1,2,1,1,2,2,2,0,0,2,0,2,2,0,0,1,0,2,Covered,11,11,8,10,18,12,23,23,24,32,29,29,24,23,27,24,Other,Cannot_Use,1,2,1,1,1,0,1,1,1,0,2,1,2,3,2,1,11,6,16,8,8,17,4,18,3,15,14,1,17,12,4,15,0,3,2,3,0,1,2,3,2,3,1,0,0,0,3,0,T
PCP,4987281,L,0,2,2,2,4,1,3,4,2,3,4,4,0,3,4,3,1,1,2,2,0,0,1,2,0,0,0,2,2,0,1,0,Covered,10,10,4,12,4,15,13,20,13,6,3,0,2,1,8,2,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,13,0,15,8,18,12,0,16,12,9,4,8,7,4,1,3,3,2,2,1,0,1,1,3,0,2,2,1,1,3,C
Other-Speciality,6293,L,3,1,0,2,3,3,3,0,3,1,3,0,0,1,0,2,1,1,2,0,0,2,2,2,0,2,1,1,1,0,2,0,Covered,5,6,10,11,20,11,13,18,14,20,19,11,16,8,7,2,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,17,4,13,2,14,10,7,15,10,6,5,0,8,0,1,3,0,2,0,3,3,3,0,3,3,2,1,3,3,C
Other-Speciality,4257,M,7,1,1,5,3,8,3,6,0,8,8,5,1,6,5,1,1,1,3,3,1,0,0,2,0,4,2,2,3,0,4,4,Covered,47,17,25,31,46,24,54,50,46,35,53,53,44,38,42,34,On_Formulary,Restrictions,1,1,0,3,1,3,1,2,0,3,1,1,2,3,2,1,7,3,0,16,4,1,11,12,15,10,10,3,3,14,2,9,1,0,2,2,2,0,3,0,3,0,2,3,3,1,2,3,T
Other-Speciality,6255,L,3,4,3,2,0,1,4,2,4,1,4,4,1,3,3,1,1,2,1,1,1,0,1,2,0,0,1,1,1,0,0,2,Covered,2,15,0,19,16,11,8,17,0,17,3,7,9,5,11,7,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,16,10,18,3,17,16,5,6,10,6,11,13,18,1,3,3,2,2,2,3,2,0,0,1,3,2,3,3,3,C
PCP,5315861,L,4,1,2,3,3,3,3,2,4,4,2,4,1,0,2,1,1,2,2,1,1,1,2,0,0,0,2,1,1,2,1,2,Covered,18,20,12,8,18,6,8,10,2,17,5,1,18,10,16,18,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,2,12,17,4,9,11,13,7,14,11,3,11,11,17,1,2,2,3,2,3,3,3,0,2,0,2,0,2,1,3,C
Other-Speciality,5833,L,4,1,3,4,2,4,3,4,0,1,3,3,2,1,3,0,1,1,0,0,0,0,0,0,0,2,2,1,2,0,1,0,Covered,2,8,18,1,15,4,4,12,9,12,7,15,17,4,10,11,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,10,3,10,16,4,17,1,12,11,16,18,17,8,3,3,0,0,0,3,3,0,3,0,0,3,0,0,2,3,0,C
Other-Speciality,6297,L,2,0,3,2,3,4,4,1,0,2,3,3,2,3,4,0,1,0,0,0,2,1,0,0,0,1,0,2,0,2,0,0,Covered,12,1,2,4,19,7,19,15,10,15,9,17,0,2,1,0,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,5,9,12,5,14,9,6,7,3,18,14,8,0,14,1,3,1,2,2,2,2,1,0,2,1,1,1,2,0,3,C
PCP,5299590,L,1,2,3,0,4,1,1,4,1,3,4,2,2,2,3,2,1,0,2,2,2,2,1,1,0,2,0,1,2,0,2,1,Covered,2,7,13,2,17,1,14,12,14,20,11,12,11,16,14,14,On_Formulary,Cannot_Use,3,1,0,2,3,0,1,0,3,3,0,0,2,0,2,1,13,11,9,7,10,11,14,14,12,6,9,10,10,16,6,11,1,2,2,2,2,2,0,3,0,3,1,0,2,1,1,3,T
REMS,1874,M,6,3,1,4,3,3,7,4,8,1,8,8,2,1,7,6,1,3,0,3,1,1,2,3,0,0,2,0,2,3,0,0,Covered,33,41,32,28,26,23,47,18,60,48,28,12,26,30,34,28,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,8,1,13,11,16,15,14,9,15,18,16,13,7,2,3,0,0,3,3,2,3,0,0,0,0,2,2,2,0,C
NON-PCP,97556,L,0,1,0,0,1,3,2,2,2,2,0,0,3,2,3,1,1,2,1,0,1,1,1,2,0,0,0,2,2,0,0,2,Covered,15,8,8,8,19,11,13,15,9,7,2,1,16,1,17,8,On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,4,11,3,3,13,18,9,16,17,9,12,15,6,17,0,0,2,2,1,0,2,3,0,1,2,1,0,0,3,1,C
Other-Speciality,6659,L,1,0,3,4,3,1,3,4,0,4,1,0,4,3,4,1,1,2,2,0,1,2,0,0,0,0,1,2,1,2,1,1,Covered,16,10,11,1,6,2,20,14,21,20,19,22,18,15,19,21,On_Formulary,Restrictions,1,3,3,0,1,0,3,0,0,0,2,2,1,2,3,3,1,11,11,1,12,6,7,5,17,17,12,7,0,6,1,15,3,3,2,2,0,1,2,0,1,2,3,3,0,3,2,3,T
Other-Speciality,6750,L,0,4,4,4,4,2,0,0,1,3,3,0,4,1,0,4,1,0,0,1,0,2,1,0,0,1,0,1,1,2,1,2,Covered,18,6,19,6,15,17,16,20,18,2,7,16,6,4,13,6,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,18,4,1,1,4,9,4,0,11,7,5,5,8,18,3,0,0,0,2,0,3,2,2,2,3,1,0,0,2,0,C
REMS,3094548,L,0,2,4,4,2,1,4,3,2,2,3,0,4,3,2,2,1,2,1,1,1,0,2,1,0,1,2,1,1,2,1,1,Covered,19,4,6,11,16,7,8,11,0,13,16,5,5,12,12,8,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,1,2,1,6,17,12,11,11,5,16,8,13,12,0,1,3,3,2,3,3,1,3,0,0,1,0,1,0,3,C
Other-Speciality,2344,M,6,3,7,2,1,2,5,5,8,5,8,6,4,7,7,3,1,4,3,4,1,0,0,3,0,4,1,1,4,3,2,2,Covered,34,39,12,24,44,32,57,39,14,11,42,59,42,18,26,57,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,4,17,1,13,6,13,4,3,14,12,8,13,11,9,1,3,2,1,3,1,1,2,1,1,0,3,1,3,2,0,C
Other-Speciality,3868,M,1,4,4,4,3,8,6,2,3,7,2,0,7,2,5,3,1,1,4,4,1,3,2,0,0,3,3,1,1,4,4,0,Covered,42,18,60,60,19,53,38,20,40,37,32,32,41,28,16,23,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,12,1,12,9,8,2,0,15,7,10,13,9,4,2,0,3,0,1,3,3,1,3,1,3,0,1,2,1,2,3,C
PCP,610,H,8,14,12,1,3,13,3,3,12,12,8,2,7,10,2,11,1,3,3,2,4,3,2,3,0,3,2,3,0,2,3,3,Covered,60,68,88,108,68,51,63,88,98,91,88,90,62,89,68,99,Other,Restrictions,0,2,3,2,1,0,2,3,1,3,1,2,3,0,0,3,18,3,10,10,16,4,10,10,3,9,4,0,1,17,7,3,2,2,1,3,0,0,2,0,0,0,1,0,2,0,3,3,T
NON-PCP,1254790,L,3,0,2,1,0,2,4,1,0,0,4,0,0,1,4,3,2,0,1,2,2,0,1,1,0,2,1,0,2,2,1,2,Covered,6,16,0,1,9,8,18,24,26,24,18,26,25,19,25,25,Other,Cannot_Use,2,1,2,1,2,3,2,1,2,2,2,1,0,1,3,3,13,3,2,12,1,0,11,8,13,12,15,13,17,11,10,16,2,2,3,2,2,0,1,1,0,3,2,0,2,0,1,1,T
REMS,2082787,L,3,2,3,3,3,4,1,2,1,2,0,0,0,2,2,1,2,0,1,0,2,0,2,1,0,1,2,0,0,1,2,2,Covered,0,18,18,2,15,17,30,28,32,29,32,32,32,27,36,27,Not_On_Formulary,Cannot_Use,0,1,2,3,0,0,3,1,0,0,3,3,2,0,1,0,8,8,7,4,7,3,3,0,11,18,7,9,0,10,8,6,0,1,2,3,0,3,1,3,3,2,3,3,1,2,3,2,T
PCP,5096756,L,1,3,1,2,0,3,1,2,1,4,2,2,0,0,0,2,2,2,0,1,2,1,1,0,0,1,1,1,1,2,1,1,Covered,7,2,4,13,19,0,10,10,15,12,14,20,15,13,16,10,On_Formulary,Cannot_Use,0,0,2,2,0,3,1,1,0,2,2,2,2,2,0,0,8,4,3,6,6,15,4,12,16,0,13,8,13,3,15,0,0,0,1,1,0,2,3,2,1,1,1,0,0,2,2,0,T
REMS,3016776,L,4,4,2,0,0,3,4,2,2,0,3,3,0,3,2,1,2,0,1,0,2,0,0,0,0,1,0,0,2,2,0,1,Covered,11,17,17,6,5,19,17,13,3,8,15,3,16,8,2,15,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,17,2,17,6,15,4,14,4,12,12,17,6,7,8,1,2,2,2,2,3,2,3,3,3,3,2,0,2,2,0,C
PCP,31192173,L,0,4,2,0,3,3,4,2,2,4,4,0,0,4,1,1,2,1,0,2,2,0,2,0,0,2,0,1,0,0,1,2,Covered,5,1,2,16,2,11,17,3,3,4,0,19,6,16,7,18,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,17,10,2,5,8,11,17,9,7,7,18,10,10,8,2,1,0,0,2,1,0,3,3,2,0,3,2,1,0,3,C
